config_name,branch,base_config,feature_state,expected_behavior,notes
ccws_lls_score_on,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_lls_score_on,lls_score_on,lls_score_update=vta_hit; lls_decay_events>0; load_gate_block=0; sim_cycle=baseline,Round W; gpgpu_enable_ccws=1 vta_probe=1 lls_score=1 decay_interval=100; no gating
ccws_would_gate_on,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_would_gate_on,wg_on,would_gate_attempt>0; would_gate_block>0 for HCS; load_gate_block=0; sim_cycle=baseline,Round X; enable_would_gate=1; no actual gating
ccws_load_gate_on,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_on,load_gate_on,load_gate_block>0 for HCS workloads; sim_cycle may change; 7/7 quick pass,Round Y; enable_load_gating=1; real load-only gating active
ccws_load_gate_conservative,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_conservative,load_gate_conservative,base_score=200; threshold sweep conservative,Round Z; lls_base_score=200; identical behavior to default (base_score not independent threshold)
ccws_load_gate_aggressive,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_aggressive,load_gate_aggressive,base_score=50; threshold sweep aggressive,Round Z; lls_base_score=50; identical behavior to default (base_score not independent threshold)
ccws_load_gate_th99,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_th99,load_gate_th99,lg_score_threshold=99; cutoff=6336; hotspot lg_block=5,Round AA; independent threshold knob
ccws_load_gate_th100,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_th100,load_gate_th100,lg_score_threshold=100; default; equivalent to Round Y,Round AA; independent threshold knob
ccws_load_gate_th101,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_th101,load_gate_th101,lg_score_threshold=101; cutoff=6464; hotspot lg_block=0,Round AA; independent threshold knob
ccws_load_gate_th200,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_th200,load_gate_th200,lg_score_threshold=200; cutoff=12800; 0 blocks all workloads,Round AA; independent threshold knob
ccws_load_gate_th99_ab,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_th99,load_gate_th99,Round AB focused validation; hotspot lg_block=5,Round AB; 7 workloads validated
ccws_load_gate_th101_ab,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_th101,load_gate_th101,Round AB focused validation; hotspot lg_block=0,Round AB; 7 workloads validated
ccws_load_gate_inc10_th100,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_inc10_th100,load_gate_inc10_th100,lls_hit_increment=10 lg_score_threshold=100; 0 blocks all workloads,Round AC; timing issue with tiny kernels
ccws_load_gate_inc50_th100,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_inc50_th100,load_gate_inc50_th100,lls_hit_increment=50 lg_score_threshold=100; srad_v2 +45% fdtd2d +61% cycle,Round AC; over-gating; too aggressive
ccws_load_gate_inc10_th101,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_inc10_th101,load_gate_inc10_th101,lls_hit_increment=10 lg_score_threshold=101; 0 blocks all workloads,Round AC
ccws_load_gate_inc5_th100,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_inc5_th100,load_gate_inc5_th100,lls_hit_increment=5 lg_score_threshold=100; 0 blocks all workloads,Round AD; gate fires only on non-stalled warps; high-LLS warps already stalled by memory
ccws_load_gate_inc20_th100,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_inc20_th100,load_gate_inc20_th100,lls_hit_increment=20 lg_score_threshold=100; 0 blocks all workloads,Round AD; same root cause as inc5/10
ccws_load_gate_inc30_th100,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_inc30_th100,load_gate_inc30_th100,lls_hit_increment=30 lg_score_threshold=100; 0 blocks all workloads,Round AD; wg_attempt=16580 vs inc50 470559
ccws_early_gate_inc5_th100,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_inc5_th100,early_gate_inc5_th100,pre-scoreboard gate; inc=5; 0 blocks; LLS scores dispersed,Round AF; gate moved before checkCollision
ccws_early_gate_inc20_th100,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_inc20_th100,early_gate_inc20_th100,pre-scoreboard gate; inc=20; 0 blocks; max_score=413 but per-SM prefix never exceeds cutoff,Round AF
ccws_early_gate_inc30_th100,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_inc30_th100,early_gate_inc30_th100,pre-scoreboard gate; inc=30; 0 blocks,Round AF
ccws_early_gate_inc50_th100,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_inc50_th100,early_gate_inc50_th100,pre-scoreboard gate; inc=50; srad_v2 +45% fdtd2d +61%; same as post-scoreboard,Round AF sanity check
ccws_active_can_issue_inc5_th100,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_inc5_th100,active_can_issue_inc5,active-warp cutoff; inc=5; over-gating (+64-88% cycle); tiny workload cutoff too small,Round AH
ccws_active_can_issue_inc20_th100,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_inc20_th100,active_can_issue_inc20,active-warp cutoff; inc=20; severe over-gating (+285-465% cycle),Round AH
ccws_active_can_issue_inc30_th100,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_inc30_th100,active_can_issue_inc30,active-warp cutoff; inc=30; severe over-gating (+415-767% cycle),Round AH
ccws_focused_conservative,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_th100,focused_conservative,inc=1 th=100; hotspot/srad_v2/fdtd2d/mutual_tiled/bfs lg_block>0; +2-11% cycle; strided/page_stride no gating,Round AI
ccws_focused_aggressive,hrl/paper/ccws-repro-v0,configs/hrl-repro/SM7_QV100_ccws_load_gate_inc50_th100,focused_aggressive,inc=50 th=100; severe over-gating all L1D-miss workloads (+390-1464% cycle),Round AI
