paper_id,paper_name,paper_type,paper_suite,paper_inst_per_l1_miss,wrapper_path,wrapper_status,availability_status,phase_mapping_status,w5_m2_active,w5_m3_active,w5_m4_active,w5c_m2_triggered,w5c_m3_triggered,w5c_m4_triggered,selected_for_w6,selection_reason,timeout_sec,notes
particle,particle,M,Rodinia,3.5,experiments/paper-mascar/workloads/wrappers/run_particle.sh,placeholder_missing_binary,missing_binary,not_found,0,0,0,0,0,0,0,skip_missing_binary,1200,Raw Rodinia particlefilter source exists but no local runnable wrapper or binary
sad_2,sad-2,M,Parboil,10.2,experiments/paper-mascar/workloads/wrappers/run_sad_2.sh,placeholder_missing_binary,missing_binary,not_found,0,0,0,0,0,0,0,skip_missing_binary,1200,Raw Parboil sad source exists but no local runnable wrapper or binary
spmv,spmv,M,Parboil,4.2,experiments/paper-mascar/workloads/matrix/W5C/wrappers/run_spmv_w5c.sh,ready,available,approximate,0,0,0,0,0,0,1,ready_candidate_w5c_input_no_strict_activation,300,W5C candidate input; strict activation flags were zero. W5C iter2 generated sparse matrix keeps repeated irregular memory work smoke bounded
srad_1,srad-1,M,Rodinia,25,experiments/paper-mascar/workloads/wrappers/run_srad_1.sh,placeholder_phase_unknown,partial_phase_unknown,app_only,0,0,0,0,0,0,0,skip_phase_unknown,300,Local SRAD app exists but srad-1 phase mapping is unresolved
srad_2,srad-2,M,Rodinia,22,experiments/paper-mascar/workloads/wrappers/run_srad_2.sh,placeholder_phase_unknown,partial_phase_unknown,app_only,0,0,0,0,0,0,0,skip_phase_unknown,300,Local SRAD app exists but srad-2 phase mapping is unresolved
bp_1,BP-1,C,Rodinia,107,experiments/paper-mascar/workloads/wrappers/run_bp_1.sh,placeholder_phase_unknown,partial_phase_unknown,app_only,0,0,0,0,0,0,0,skip_phase_unknown,300,Local backprop app exists but BP-1 phase mapping is unresolved
cutcp,cutcp,C,Parboil,949,experiments/paper-mascar/workloads/wrappers/run_cutcp.sh,placeholder_missing_binary,missing_binary,not_found,0,0,0,0,0,0,0,skip_missing_binary,1200,Raw Parboil cutcp source exists but no local runnable wrapper or binary
histo_2,histo-2,C,Parboil,35.9,experiments/paper-mascar/workloads/wrappers/run_histo_2.sh,placeholder_phase_unknown,partial_phase_unknown,app_only,0,0,0,0,0,0,0,skip_phase_unknown,300,Local histo app exists but histo-2 phase mapping is unresolved
histogram,histogram,C,Rodinia,91.2,experiments/paper-mascar/workloads/wrappers/run_histogram.sh,placeholder_missing_source,missing_source,not_found,0,0,0,0,0,0,0,skip_missing_source,1200,No local histogram source or wrapper
kmeans_2,kmeans-2,C,Rodinia,88,experiments/paper-mascar/workloads/wrappers/run_kmeans_2.sh,placeholder_phase_unknown,partial_phase_unknown,app_only,0,0,0,0,0,0,0,skip_phase_unknown,300,Local kmeans app exists but kmeans-2 phase mapping is unresolved
lavamd,lavaMD,C,Rodinia,512,experiments/paper-mascar/workloads/wrappers/run_lavamd.sh,placeholder_missing_binary,missing_binary,not_found,0,0,0,0,0,0,0,skip_missing_binary,1200,Raw Rodinia lavaMD source exists but no local runnable wrapper or binary
leuko_2,leuko-2,C,Rodinia,173,experiments/paper-mascar/workloads/wrappers/run_leuko_2.sh,placeholder_missing_binary,missing_binary,not_found,0,0,0,0,0,0,0,skip_missing_binary,1200,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary
leuko_3,leuko-3,C,Rodinia,5289,experiments/paper-mascar/workloads/wrappers/run_leuko_3.sh,placeholder_missing_binary,missing_binary,not_found,0,0,0,0,0,0,0,skip_missing_binary,1200,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary
mri_q,mri-q,C,Parboil,3479,experiments/paper-mascar/workloads/matrix/W5C/wrappers/run_mri_q_w5c.sh,ready,available,approximate,0,0,0,0,0,0,1,ready_candidate_w5c_input_no_strict_activation,300,W5C candidate input; strict activation flags were zero. W5C iter2 generated binary increases K and X values versus tiny input
mrig_3,mrig-3,C,Parboil,147,experiments/paper-mascar/workloads/wrappers/run_mrig_3.sh,placeholder_missing_binary,missing_binary,not_found,0,0,0,0,0,0,0,skip_missing_binary,1200,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary
pathfinder,pathfinder,C,Rodinia,55.83,experiments/paper-mascar/workloads/matrix/W5C/wrappers/run_pathfinder_w5c.sh,ready,available,approximate,0,0,0,0,0,0,1,ready_candidate_w5c_input_no_strict_activation,300,W5C candidate input; strict activation flags were zero. W5C iter2 direct parameters increase grid size but stay smoke bounded
sad_1,sad-1,C,Parboil,2563,experiments/paper-mascar/workloads/wrappers/run_sad_1.sh,placeholder_missing_binary,missing_binary,not_found,0,0,0,0,0,0,0,skip_missing_binary,1200,Raw Parboil sad source exists but no local runnable wrapper or binary
sgemm,sgemm,C,Parboil,75,experiments/paper-mascar/workloads/matrix/W5C/wrappers/run_sgemm_w5c.sh,ready,available,approximate,0,0,0,0,0,0,1,ready_candidate_w5c_input_no_strict_activation,300,W5C candidate input; strict activation flags were zero. W5C iter2 generated matrices increase active blocks but remain smoke-sized
stencil,stencil,C,Parboil,38,experiments/paper-mascar/workloads/matrix/W5C/wrappers/run_stencil_w5c.sh,ready,available,approximate,0,0,0,0,0,0,1,ready_candidate_w5c_input_no_strict_activation,300,W5C candidate input; strict activation flags were zero. W5C iter2 generated grid increases memory footprint and iterations
tpacf,tpacf,C,Parboil,10816,experiments/paper-mascar/workloads/wrappers/run_tpacf.sh,placeholder_missing_binary,missing_binary,not_found,0,0,0,0,0,0,0,skip_missing_binary,1200,Raw Parboil tpacf source exists but no local runnable wrapper or binary
