paper_id,paper_name,paper_type,config_id,classification,explicit_pass,gpu_tot_sim_cycle,gpu_tot_ipc,baseline_cycles,cycle_speedup_vs_baseline,m2_mp_cycles,m2_owner_acquire,m2_nonowner_mem_block,m3_hitonly_attempt,m3_hitonly_hit,m3_hitonly_nack,m3_probe_attempt,m3_probe_hit,m3_probe_nack,m3_nonowner_lsu_probe_allowed,m4_enqueue_success,m4_retry_attempt,m4_retry_requeue,m2_active,m3_strict_active,m3_probe_observed,m4_active,any_active
srad_1,srad-1,M,m2_owner_sched,completed_stats_found,0,8248,80.1404,8236,0.998545,1786,199,8355,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
srad_2,srad-2,M,m2_owner_sched,completed_stats_found,0,8248,80.1404,8236,0.998545,1786,199,8355,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
bp_2,BP-2,M,m3_hitonly_nack,completed_stats_found,0,6918,42.2226,6911,0.998988,525,16,732,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
bfs,bfs,M,m3_hitonly_nack,completed_stats_found,0,6665,0.2029,6665,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
histo_1,histo-1,M,m3_hitonly_nack,completed_explicit_pass,1,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
histo_3,histo-3,M,m3_hitonly_nack,completed_explicit_pass,1,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kmeans_1,kmeans-1,M,m3_hitonly_nack,completed_stats_found,0,5592,0.9728,5592,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spmv,spmv,M,m3_hitonly_nack,completed_explicit_pass,1,21813,0.9723,21813,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srad_1,srad-1,M,m3_hitonly_nack,completed_stats_found,0,8248,80.1404,8236,0.998545,1786,199,8355,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
srad_2,srad-2,M,m3_hitonly_nack,completed_stats_found,0,8248,80.1404,8236,0.998545,1786,199,8355,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
bp_2,BP-2,M,m4_reexec_load,completed_stats_found,0,6915,42.2409,6911,0.999422,533,149,710,0,0,0,0,0,0,0,51,184,133,1,0,0,1,1
bfs,bfs,M,m4_reexec_load,completed_stats_found,0,6665,0.2029,6665,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
histo_1,histo-1,M,m4_reexec_load,completed_explicit_pass,1,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
histo_3,histo-3,M,m4_reexec_load,completed_explicit_pass,1,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kmeans_1,kmeans-1,M,m4_reexec_load,completed_stats_found,0,5592,0.9728,5592,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spmv,spmv,M,m4_reexec_load,completed_explicit_pass,1,21813,0.9723,21813,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srad_1,srad-1,M,m4_reexec_load,completed_stats_found,0,8248,80.1404,8236,0.998545,1790,213,8355,0,0,0,0,0,0,0,6,20,14,1,0,0,1,1
srad_2,srad-2,M,m4_reexec_load,completed_stats_found,0,8248,80.1404,8236,0.998545,1790,213,8355,0,0,0,0,0,0,0,6,20,14,1,0,0,1,1
bp_1,BP-1,C,baseline_off,completed_stats_found,0,6911,42.2654,6911,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
histo_2,histo-2,C,baseline_off,completed_explicit_pass,1,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kmeans_2,kmeans-2,C,baseline_off,completed_stats_found,0,5592,0.9728,5592,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mri_q,mri-q,C,baseline_off,completed_stats_found,0,5547,1.0788,5547,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pathfinder,pathfinder,C,baseline_off,completed_stats_found,0,7351,5.2760,7351,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sgemm,sgemm,C,baseline_off,completed_stats_found,0,21460,4.4257,21460,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stencil,stencil,C,baseline_off,completed_stats_found,0,8221,7.8059,8221,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bp_1,BP-1,C,m2_owner_sched,completed_stats_found,0,6918,42.2226,6911,0.998988,525,16,732,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
histo_2,histo-2,C,m2_owner_sched,completed_explicit_pass,1,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kmeans_2,kmeans-2,C,m2_owner_sched,completed_stats_found,0,5592,0.9728,5592,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mri_q,mri-q,C,m2_owner_sched,completed_stats_found,0,5547,1.0788,5547,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pathfinder,pathfinder,C,m2_owner_sched,completed_stats_found,0,7351,5.2760,7351,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sgemm,sgemm,C,m2_owner_sched,completed_stats_found,0,21460,4.4257,21460,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stencil,stencil,C,m2_owner_sched,completed_stats_found,0,8221,7.8059,8221,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bp_1,BP-1,C,m3_hitonly_nack,completed_stats_found,0,6918,42.2226,6911,0.998988,525,16,732,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
histo_2,histo-2,C,m3_hitonly_nack,completed_explicit_pass,1,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kmeans_2,kmeans-2,C,m3_hitonly_nack,completed_stats_found,0,5592,0.9728,5592,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mri_q,mri-q,C,m3_hitonly_nack,completed_stats_found,0,5547,1.0788,5547,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pathfinder,pathfinder,C,m3_hitonly_nack,completed_stats_found,0,7351,5.2760,7351,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sgemm,sgemm,C,m3_hitonly_nack,completed_stats_found,0,21460,4.4257,21460,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stencil,stencil,C,m3_hitonly_nack,completed_stats_found,0,8221,7.8059,8221,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bp_1,BP-1,C,m4_reexec_load,completed_stats_found,0,6915,42.2409,6911,0.999422,533,149,710,0,0,0,0,0,0,0,51,184,133,1,0,0,1,1
histo_2,histo-2,C,m4_reexec_load,completed_explicit_pass,1,7096,282.4803,7096,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kmeans_2,kmeans-2,C,m4_reexec_load,completed_stats_found,0,5592,0.9728,5592,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mri_q,mri-q,C,m4_reexec_load,completed_stats_found,0,5547,1.0788,5547,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pathfinder,pathfinder,C,m4_reexec_load,completed_stats_found,0,7351,5.2760,7351,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sgemm,sgemm,C,m4_reexec_load,completed_stats_found,0,21460,4.4257,21460,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stencil,stencil,C,m4_reexec_load,completed_stats_found,0,8221,7.8059,8221,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
