paper_id,paper_name,paper_type,paper_suite,paper_app,paper_kernel_or_phase,paper_inst_per_l1_miss,wrapper_path,wrapper_status,availability_status,phase_mapping_status_w18,phase_mapping_confidence_w18,local_launch_index,local_kernel_name,measurement_scope,selected_for_w24,selection_reason,correctness_status_prior,notes
particle,particle,M,Rodinia,particlefilter,whole_app,3.5,experiments/paper-mascar/workloads/wrappers/run_particle.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Rodinia particlefilter source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia particlefilter source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia particlefilter source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
sad_2,sad-2,M,Parboil,sad,phase_2,10.2,experiments/paper-mascar/workloads/wrappers/run_sad_2.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Parboil sad source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil sad source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil sad source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
spmv,spmv,M,Parboil,spmv,whole_app,4.2,experiments/paper-mascar/workloads/wrappers/run_spmv.sh,ready,available,inferred,not_w18_target,,,app_run_unmapped,1,ready_wrapper,smoke_pass,Local Parboil SpMV tiny wrapper; Local Parboil SpMV tiny wrapper; Local Parboil SpMV tiny wrapper
srad_1,srad-1,M,Rodinia,srad,phase_1,25,experiments/paper-mascar/workloads/wrappers/run_srad_1.sh,ready,available,mapped_by_launch_order,inferred_order,1,_Z11srad_cuda_1PfS_S_S_S_S_iif,app_run_inferred_phase,1,ready_wrapper,smoke_pass,Local SRAD app exists but srad-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local SRAD app exists but srad-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
srad_2,srad-2,M,Rodinia,srad,phase_2,22,experiments/paper-mascar/workloads/wrappers/run_srad_2.sh,ready,available,mapped_by_launch_order,inferred_order,2,_Z11srad_cuda_2PfS_S_S_S_S_iiff,app_run_inferred_phase,1,ready_wrapper,smoke_pass,Local SRAD app exists but srad-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local SRAD app exists but srad-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
bp_1,BP-1,C,Rodinia,backprop,phase_1,107,experiments/paper-mascar/workloads/wrappers/run_bp_1.sh,ready,available,mapped_by_launch_order,inferred_order,1,_Z22bpnn_layerforward_CUDAPfS_S_S_ii,app_run_inferred_phase,1,ready_wrapper,smoke_pass,Local backprop app exists but BP-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local backprop app exists but BP-1 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
cutcp,cutcp,C,Parboil,cutcp,whole_app,949,experiments/paper-mascar/workloads/wrappers/run_cutcp.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Parboil cutcp source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil cutcp source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil cutcp source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
histo_2,histo-2,C,Parboil,histo,phase_2,35.9,experiments/paper-mascar/workloads/wrappers/run_histo_2.sh,ready,available,mapped_by_launch_order,inferred_order,2,_Z26histo_intermediates_kernelP5uint2jjjP6uchar4,app_run_inferred_phase,1,ready_wrapper,smoke_pass,Local histo app exists but histo-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local histo app exists but histo-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
histogram,histogram,C,Rodinia,histogram,whole_app,91.2,experiments/paper-mascar/workloads/wrappers/run_histogram.sh,placeholder_missing_source,missing_source,unavailable,not_w18_target,,,unavailable,0,missing_source,placeholder_missing_source,No local histogram source or wrapper; W17A found no complete local source; No local histogram source or wrapper; W17A found no complete local source; No local histogram source or wrapper; W17A found no complete local source
kmeans_2,kmeans-2,C,Rodinia,kmeans,phase_2,88,experiments/paper-mascar/workloads/wrappers/run_kmeans_2.sh,ready,available,mapped_by_launch_order,inferred_order,2,_Z11kmeansPointPfiiiPiS_S_S0_,app_run_inferred_phase,1,ready_wrapper,smoke_pass,Local kmeans app exists but kmeans-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Local kmeans app exists but kmeans-2 phase mapping is unresolved; W17 promoted to app-level ready only; exact phase pending W18 kernel trace; Proposed mapping only; requires GPT review before canonical manifest update.
lavamd,lavaMD,C,Rodinia,lavaMD,whole_app,512,experiments/paper-mascar/workloads/wrappers/run_lavamd.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Rodinia lavaMD source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia lavaMD source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia lavaMD source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
leuko_2,leuko-2,C,Rodinia,leukocyte,phase_2,173,experiments/paper-mascar/workloads/wrappers/run_leuko_2.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
leuko_3,leuko-3,C,Rodinia,leukocyte,phase_3,5289,experiments/paper-mascar/workloads/wrappers/run_leuko_3.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Rodinia leukocyte source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
mri_q,mri-q,C,Parboil,mri-q,whole_app,3479,experiments/paper-mascar/workloads/wrappers/run_mri_q.sh,ready,available,inferred,not_w18_target,,,app_run_unmapped,1,ready_wrapper,smoke_pass,Local Parboil mri-q tiny wrapper; Local Parboil mri-q tiny wrapper; Local Parboil mri-q tiny wrapper
mrig_3,mrig-3,C,Parboil,mri-gridding,phase_3,147,experiments/paper-mascar/workloads/wrappers/run_mrig_3.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil mri-gridding source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
pathfinder,pathfinder,C,Rodinia,pathfinder,whole_app,55.83,experiments/paper-mascar/workloads/wrappers/run_pathfinder.sh,ready,available,inferred,not_w18_target,,,app_run_unmapped,1,ready_wrapper,smoke_pass,Local Rodinia pathfinder tiny wrapper; Local Rodinia pathfinder tiny wrapper; Local Rodinia pathfinder tiny wrapper
sad_1,sad-1,C,Parboil,sad,phase_1,2563,experiments/paper-mascar/workloads/wrappers/run_sad_1.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Parboil sad source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil sad source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil sad source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
sgemm,sgemm,C,Parboil,sgemm,whole_app,75,experiments/paper-mascar/workloads/wrappers/run_sgemm.sh,ready,available,inferred,not_w18_target,,,app_run_unmapped,1,ready_wrapper,smoke_pass,Local Parboil SGEMM tiny wrapper; Local Parboil SGEMM tiny wrapper; Local Parboil SGEMM tiny wrapper
stencil,stencil,C,Parboil,stencil,whole_app,38,experiments/paper-mascar/workloads/wrappers/run_stencil.sh,ready,available,inferred,not_w18_target,,,app_run_unmapped,1,ready_wrapper,smoke_pass,Local Parboil stencil tiny wrapper; Local Parboil stencil tiny wrapper; Local Parboil stencil tiny wrapper
tpacf,tpacf,C,Parboil,tpacf,whole_app,10816,experiments/paper-mascar/workloads/wrappers/run_tpacf.sh,placeholder_missing_binary,missing_binary,unavailable,not_w18_target,,,unavailable,0,missing_binary_after_two_build_attempts,placeholder_missing_source,Raw Parboil tpacf source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil tpacf source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary; Raw Parboil tpacf source exists but no local runnable wrapper or binary; W17B native/fallback build did not recover valid ELF binary
