run_id,config_id,config_path,config_role,paper_id,paper_name,paper_type,wrapper_path,measurement_scope,phase_mapping_confidence_w18,selected_for_run,timeout_sec,expected_activation,duplicate_physical_group,notes
m3_hitonly_nack__histo_1,m3_hitonly_nack,configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on,scheduling_hitonly,histo_1,histo-1,M,experiments/paper-mascar/workloads/wrappers/run_histo_1.sh,app_run_inferred_phase,inferred_order,1,1800,M2_M3_possible,phys_03,app-level sweep row; inferred_order is not exact phase mapping
m4_reexec_load__histo_1,m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on,scheduling_hitonly_reexec,histo_1,histo-1,M,experiments/paper-mascar/workloads/wrappers/run_histo_1.sh,app_run_inferred_phase,inferred_order,1,1800,M2_M3_M4_possible,phys_03,app-level sweep row; inferred_order is not exact phase mapping
baseline_off__histo_3,baseline_off,configs/hrl-repro/SM7_QV100_mascar_baseline_off,baseline,histo_3,histo-3,M,experiments/paper-mascar/workloads/wrappers/run_histo_3.sh,app_run_inferred_phase,inferred_order,1,1800,none,phys_04,app-level sweep row; inferred_order is not exact phase mapping
m2_owner_sched__histo_3,m2_owner_sched,configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on,scheduling_only,histo_3,histo-3,M,experiments/paper-mascar/workloads/wrappers/run_histo_3.sh,app_run_inferred_phase,inferred_order,1,1800,M2_possible,phys_04,app-level sweep row; inferred_order is not exact phase mapping
m3_hitonly_nack__histo_3,m3_hitonly_nack,configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on,scheduling_hitonly,histo_3,histo-3,M,experiments/paper-mascar/workloads/wrappers/run_histo_3.sh,app_run_inferred_phase,inferred_order,1,1800,M2_M3_possible,phys_04,app-level sweep row; inferred_order is not exact phase mapping
m4_reexec_load__histo_3,m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on,scheduling_hitonly_reexec,histo_3,histo-3,M,experiments/paper-mascar/workloads/wrappers/run_histo_3.sh,app_run_inferred_phase,inferred_order,1,1800,M2_M3_M4_possible,phys_04,app-level sweep row; inferred_order is not exact phase mapping
baseline_off__kmeans_1,baseline_off,configs/hrl-repro/SM7_QV100_mascar_baseline_off,baseline,kmeans_1,kmeans-1,M,experiments/paper-mascar/workloads/wrappers/run_kmeans_1.sh,app_run_inferred_phase,inferred_order,1,1800,none,phys_05,app-level sweep row; inferred_order is not exact phase mapping
m2_owner_sched__kmeans_1,m2_owner_sched,configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on,scheduling_only,kmeans_1,kmeans-1,M,experiments/paper-mascar/workloads/wrappers/run_kmeans_1.sh,app_run_inferred_phase,inferred_order,1,1800,M2_possible,phys_05,app-level sweep row; inferred_order is not exact phase mapping
m3_hitonly_nack__kmeans_1,m3_hitonly_nack,configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on,scheduling_hitonly,kmeans_1,kmeans-1,M,experiments/paper-mascar/workloads/wrappers/run_kmeans_1.sh,app_run_inferred_phase,inferred_order,1,1800,M2_M3_possible,phys_05,app-level sweep row; inferred_order is not exact phase mapping
m4_reexec_load__kmeans_1,m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on,scheduling_hitonly_reexec,kmeans_1,kmeans-1,M,experiments/paper-mascar/workloads/wrappers/run_kmeans_1.sh,app_run_inferred_phase,inferred_order,1,1800,M2_M3_M4_possible,phys_05,app-level sweep row; inferred_order is not exact phase mapping
baseline_off__spmv,baseline_off,configs/hrl-repro/SM7_QV100_mascar_baseline_off,baseline,spmv,spmv,M,experiments/paper-mascar/workloads/wrappers/run_spmv.sh,app_run_unmapped,not_w18_target,1,1800,none,phys_06,app-level sweep row
m2_owner_sched__spmv,m2_owner_sched,configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on,scheduling_only,spmv,spmv,M,experiments/paper-mascar/workloads/wrappers/run_spmv.sh,app_run_unmapped,not_w18_target,1,1800,M2_possible,phys_06,app-level sweep row
m3_hitonly_nack__spmv,m3_hitonly_nack,configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on,scheduling_hitonly,spmv,spmv,M,experiments/paper-mascar/workloads/wrappers/run_spmv.sh,app_run_unmapped,not_w18_target,1,1800,M2_M3_possible,phys_06,app-level sweep row
m4_reexec_load__spmv,m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on,scheduling_hitonly_reexec,spmv,spmv,M,experiments/paper-mascar/workloads/wrappers/run_spmv.sh,app_run_unmapped,not_w18_target,1,1800,M2_M3_M4_possible,phys_06,app-level sweep row
baseline_off__srad_1,baseline_off,configs/hrl-repro/SM7_QV100_mascar_baseline_off,baseline,srad_1,srad-1,M,experiments/paper-mascar/workloads/wrappers/run_srad_1.sh,app_run_inferred_phase,inferred_order,1,1800,none,phys_07,app-level sweep row; inferred_order is not exact phase mapping
m2_owner_sched__srad_1,m2_owner_sched,configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on,scheduling_only,srad_1,srad-1,M,experiments/paper-mascar/workloads/wrappers/run_srad_1.sh,app_run_inferred_phase,inferred_order,1,1800,M2_possible,phys_07,app-level sweep row; inferred_order is not exact phase mapping
m3_hitonly_nack__srad_1,m3_hitonly_nack,configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on,scheduling_hitonly,srad_1,srad-1,M,experiments/paper-mascar/workloads/wrappers/run_srad_1.sh,app_run_inferred_phase,inferred_order,1,1800,M2_M3_possible,phys_07,app-level sweep row; inferred_order is not exact phase mapping
m4_reexec_load__srad_1,m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on,scheduling_hitonly_reexec,srad_1,srad-1,M,experiments/paper-mascar/workloads/wrappers/run_srad_1.sh,app_run_inferred_phase,inferred_order,1,1800,M2_M3_M4_possible,phys_07,app-level sweep row; inferred_order is not exact phase mapping
baseline_off__srad_2,baseline_off,configs/hrl-repro/SM7_QV100_mascar_baseline_off,baseline,srad_2,srad-2,M,experiments/paper-mascar/workloads/wrappers/run_srad_2.sh,app_run_inferred_phase,inferred_order,1,1800,none,phys_08,app-level sweep row; inferred_order is not exact phase mapping
m2_owner_sched__srad_2,m2_owner_sched,configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on,scheduling_only,srad_2,srad-2,M,experiments/paper-mascar/workloads/wrappers/run_srad_2.sh,app_run_inferred_phase,inferred_order,1,1800,M2_possible,phys_08,app-level sweep row; inferred_order is not exact phase mapping
m3_hitonly_nack__srad_2,m3_hitonly_nack,configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on,scheduling_hitonly,srad_2,srad-2,M,experiments/paper-mascar/workloads/wrappers/run_srad_2.sh,app_run_inferred_phase,inferred_order,1,1800,M2_M3_possible,phys_08,app-level sweep row; inferred_order is not exact phase mapping
m4_reexec_load__srad_2,m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on,scheduling_hitonly_reexec,srad_2,srad-2,M,experiments/paper-mascar/workloads/wrappers/run_srad_2.sh,app_run_inferred_phase,inferred_order,1,1800,M2_M3_M4_possible,phys_08,app-level sweep row; inferred_order is not exact phase mapping
baseline_off__bp_1,baseline_off,configs/hrl-repro/SM7_QV100_mascar_baseline_off,baseline,bp_1,BP-1,C,experiments/paper-mascar/workloads/wrappers/run_bp_1.sh,app_run_inferred_phase,inferred_order,1,1800,none,phys_09,app-level sweep row; inferred_order is not exact phase mapping
m2_owner_sched__bp_1,m2_owner_sched,configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on,scheduling_only,bp_1,BP-1,C,experiments/paper-mascar/workloads/wrappers/run_bp_1.sh,app_run_inferred_phase,inferred_order,1,1800,M2_possible,phys_09,app-level sweep row; inferred_order is not exact phase mapping
m3_hitonly_nack__bp_1,m3_hitonly_nack,configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on,scheduling_hitonly,bp_1,BP-1,C,experiments/paper-mascar/workloads/wrappers/run_bp_1.sh,app_run_inferred_phase,inferred_order,1,1800,M2_M3_possible,phys_09,app-level sweep row; inferred_order is not exact phase mapping
m4_reexec_load__bp_1,m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on,scheduling_hitonly_reexec,bp_1,BP-1,C,experiments/paper-mascar/workloads/wrappers/run_bp_1.sh,app_run_inferred_phase,inferred_order,1,1800,M2_M3_M4_possible,phys_09,app-level sweep row; inferred_order is not exact phase mapping
baseline_off__histo_2,baseline_off,configs/hrl-repro/SM7_QV100_mascar_baseline_off,baseline,histo_2,histo-2,C,experiments/paper-mascar/workloads/wrappers/run_histo_2.sh,app_run_inferred_phase,inferred_order,1,1800,none,phys_10,app-level sweep row; inferred_order is not exact phase mapping
m2_owner_sched__histo_2,m2_owner_sched,configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on,scheduling_only,histo_2,histo-2,C,experiments/paper-mascar/workloads/wrappers/run_histo_2.sh,app_run_inferred_phase,inferred_order,1,1800,M2_possible,phys_10,app-level sweep row; inferred_order is not exact phase mapping
m3_hitonly_nack__histo_2,m3_hitonly_nack,configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on,scheduling_hitonly,histo_2,histo-2,C,experiments/paper-mascar/workloads/wrappers/run_histo_2.sh,app_run_inferred_phase,inferred_order,1,1800,M2_M3_possible,phys_10,app-level sweep row; inferred_order is not exact phase mapping
m4_reexec_load__histo_2,m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on,scheduling_hitonly_reexec,histo_2,histo-2,C,experiments/paper-mascar/workloads/wrappers/run_histo_2.sh,app_run_inferred_phase,inferred_order,1,1800,M2_M3_M4_possible,phys_10,app-level sweep row; inferred_order is not exact phase mapping
baseline_off__kmeans_2,baseline_off,configs/hrl-repro/SM7_QV100_mascar_baseline_off,baseline,kmeans_2,kmeans-2,C,experiments/paper-mascar/workloads/wrappers/run_kmeans_2.sh,app_run_inferred_phase,inferred_order,1,1800,none,phys_11,app-level sweep row; inferred_order is not exact phase mapping
m2_owner_sched__kmeans_2,m2_owner_sched,configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on,scheduling_only,kmeans_2,kmeans-2,C,experiments/paper-mascar/workloads/wrappers/run_kmeans_2.sh,app_run_inferred_phase,inferred_order,1,1800,M2_possible,phys_11,app-level sweep row; inferred_order is not exact phase mapping
m3_hitonly_nack__kmeans_2,m3_hitonly_nack,configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on,scheduling_hitonly,kmeans_2,kmeans-2,C,experiments/paper-mascar/workloads/wrappers/run_kmeans_2.sh,app_run_inferred_phase,inferred_order,1,1800,M2_M3_possible,phys_11,app-level sweep row; inferred_order is not exact phase mapping
m4_reexec_load__kmeans_2,m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on,scheduling_hitonly_reexec,kmeans_2,kmeans-2,C,experiments/paper-mascar/workloads/wrappers/run_kmeans_2.sh,app_run_inferred_phase,inferred_order,1,1800,M2_M3_M4_possible,phys_11,app-level sweep row; inferred_order is not exact phase mapping
baseline_off__mri_q,baseline_off,configs/hrl-repro/SM7_QV100_mascar_baseline_off,baseline,mri_q,mri-q,C,experiments/paper-mascar/workloads/wrappers/run_mri_q.sh,app_run_unmapped,not_w18_target,1,1800,none,phys_12,app-level sweep row
m2_owner_sched__mri_q,m2_owner_sched,configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on,scheduling_only,mri_q,mri-q,C,experiments/paper-mascar/workloads/wrappers/run_mri_q.sh,app_run_unmapped,not_w18_target,1,1800,M2_possible,phys_12,app-level sweep row
m3_hitonly_nack__mri_q,m3_hitonly_nack,configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on,scheduling_hitonly,mri_q,mri-q,C,experiments/paper-mascar/workloads/wrappers/run_mri_q.sh,app_run_unmapped,not_w18_target,1,1800,M2_M3_possible,phys_12,app-level sweep row
m4_reexec_load__mri_q,m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on,scheduling_hitonly_reexec,mri_q,mri-q,C,experiments/paper-mascar/workloads/wrappers/run_mri_q.sh,app_run_unmapped,not_w18_target,1,1800,M2_M3_M4_possible,phys_12,app-level sweep row
baseline_off__pathfinder,baseline_off,configs/hrl-repro/SM7_QV100_mascar_baseline_off,baseline,pathfinder,pathfinder,C,experiments/paper-mascar/workloads/wrappers/run_pathfinder.sh,app_run_unmapped,not_w18_target,1,1800,none,phys_13,app-level sweep row
m2_owner_sched__pathfinder,m2_owner_sched,configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on,scheduling_only,pathfinder,pathfinder,C,experiments/paper-mascar/workloads/wrappers/run_pathfinder.sh,app_run_unmapped,not_w18_target,1,1800,M2_possible,phys_13,app-level sweep row
m3_hitonly_nack__pathfinder,m3_hitonly_nack,configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on,scheduling_hitonly,pathfinder,pathfinder,C,experiments/paper-mascar/workloads/wrappers/run_pathfinder.sh,app_run_unmapped,not_w18_target,1,1800,M2_M3_possible,phys_13,app-level sweep row
m4_reexec_load__pathfinder,m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on,scheduling_hitonly_reexec,pathfinder,pathfinder,C,experiments/paper-mascar/workloads/wrappers/run_pathfinder.sh,app_run_unmapped,not_w18_target,1,1800,M2_M3_M4_possible,phys_13,app-level sweep row
baseline_off__sgemm,baseline_off,configs/hrl-repro/SM7_QV100_mascar_baseline_off,baseline,sgemm,sgemm,C,experiments/paper-mascar/workloads/wrappers/run_sgemm.sh,app_run_unmapped,not_w18_target,1,1800,none,phys_14,app-level sweep row
m2_owner_sched__sgemm,m2_owner_sched,configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on,scheduling_only,sgemm,sgemm,C,experiments/paper-mascar/workloads/wrappers/run_sgemm.sh,app_run_unmapped,not_w18_target,1,1800,M2_possible,phys_14,app-level sweep row
m3_hitonly_nack__sgemm,m3_hitonly_nack,configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on,scheduling_hitonly,sgemm,sgemm,C,experiments/paper-mascar/workloads/wrappers/run_sgemm.sh,app_run_unmapped,not_w18_target,1,1800,M2_M3_possible,phys_14,app-level sweep row
m4_reexec_load__sgemm,m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on,scheduling_hitonly_reexec,sgemm,sgemm,C,experiments/paper-mascar/workloads/wrappers/run_sgemm.sh,app_run_unmapped,not_w18_target,1,1800,M2_M3_M4_possible,phys_14,app-level sweep row
baseline_off__stencil,baseline_off,configs/hrl-repro/SM7_QV100_mascar_baseline_off,baseline,stencil,stencil,C,experiments/paper-mascar/workloads/wrappers/run_stencil.sh,app_run_unmapped,not_w18_target,1,1800,none,phys_15,app-level sweep row
m2_owner_sched__stencil,m2_owner_sched,configs/hrl-repro/SM7_QV100_mascar_m2_owner_sched_on,scheduling_only,stencil,stencil,C,experiments/paper-mascar/workloads/wrappers/run_stencil.sh,app_run_unmapped,not_w18_target,1,1800,M2_possible,phys_15,app-level sweep row
m3_hitonly_nack__stencil,m3_hitonly_nack,configs/hrl-repro/SM7_QV100_mascar_m3_hitonly_nack_on,scheduling_hitonly,stencil,stencil,C,experiments/paper-mascar/workloads/wrappers/run_stencil.sh,app_run_unmapped,not_w18_target,1,1800,M2_M3_possible,phys_15,app-level sweep row
m4_reexec_load__stencil,m4_reexec_load,configs/hrl-repro/SM7_QV100_mascar_m4_reexec_load_on,scheduling_hitonly_reexec,stencil,stencil,C,experiments/paper-mascar/workloads/wrappers/run_stencil.sh,app_run_unmapped,not_w18_target,1,1800,M2_M3_M4_possible,phys_15,app-level sweep row
