paper_id,paper_name,paper_type,wrapper_status,availability_status,baseline_classification,m4_classification,m4_has_stats,m4_explicit_pass,gpu_tot_sim_cycle,l1_probe_nonzero,m2_telemetry_nonzero,m2_mp_owner_active,m3_hitonly_active,m4_reexec_active,mechanism_active,activation_tier,notes,paper_mascar_l1_sat_sample,paper_mascar_l1_sat_sample_saturated,paper_mascar_m2_ep_cycles,paper_mascar_m2_mp_cycles,paper_mascar_m2_owner_acquire,paper_mascar_m2_nonowner_mem_block,paper_mascar_m2_wst_mem_bit_set,paper_mascar_m2_wst_stall_bit_set,paper_mascar_m2_l1_recent_set,paper_mascar_m3_probe_attempt,paper_mascar_m3_hitonly_access_attempt,paper_mascar_m3_hitonly_access_hit,paper_mascar_m3_hitonly_access_nack,paper_mascar_m4_would_enqueue_attempt,paper_mascar_m4_enqueue_attempt,paper_mascar_m4_enqueue_success,paper_mascar_m4_retry_attempt,paper_mascar_m4_retry_hit,paper_mascar_m4_retry_nack,paper_mascar_m4_retry_requeue,paper_mascar_m4_queue_occupancy_max
histogram,histogram,C,placeholder_missing_source,missing_source,missing_source,missing_source,0,0,,0,0,0,0,0,0,missing_source,placeholder_missing_source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kmeans_2,kmeans-2,C,placeholder_phase_unknown,partial_phase_unknown,phase_unknown,phase_unknown,0,0,,0,0,0,0,0,0,phase_unknown,placeholder_phase_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lavamd,lavaMD,C,placeholder_missing_binary,missing_binary,missing_binary,missing_binary,0,0,,0,0,0,0,0,0,missing_binary,placeholder_missing_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leuko_2,leuko-2,C,placeholder_missing_binary,missing_binary,missing_binary,missing_binary,0,0,,0,0,0,0,0,0,missing_binary,placeholder_missing_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leuko_3,leuko-3,C,placeholder_missing_binary,missing_binary,missing_binary,missing_binary,0,0,,0,0,0,0,0,0,missing_binary,placeholder_missing_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mri_q,mri-q,C,ready,available,completed_no_explicit_pass,completed_no_explicit_pass,1,0,5547,1,1,0,0,0,0,telemetry_only,M4 config produced L1/M2 telemetry but no MP owner/M3/M4 active counters,12,0,546,0,0,0,525,512,0,0,0,0,0,0,0,0,0,0,0,0,0
mrig_3,mrig-3,C,placeholder_missing_binary,missing_binary,missing_binary,missing_binary,0,0,,0,0,0,0,0,0,missing_binary,placeholder_missing_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pathfinder,pathfinder,C,ready,available,completed_no_explicit_pass,completed_no_explicit_pass,1,0,6487,1,1,0,0,0,0,telemetry_only,M4 config produced L1/M2 telemetry but no MP owner/M3/M4 active counters,40,0,1486,0,0,0,1115,4346,0,0,0,0,0,0,0,0,0,0,0,0,0
sad_1,sad-1,C,placeholder_missing_binary,missing_binary,missing_binary,missing_binary,0,0,,0,0,0,0,0,0,missing_binary,placeholder_missing_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sgemm,sgemm,C,ready,available,completed_no_explicit_pass,completed_no_explicit_pass,1,0,21460,1,1,0,0,0,0,telemetry_only,M4 config produced L1/M2 telemetry but no MP owner/M3/M4 active counters,800,0,16459,0,0,0,4326,61827,0,0,0,0,0,0,0,0,0,0,0,0,0
stencil,stencil,C,ready,available,completed_no_explicit_pass,completed_no_explicit_pass,1,0,8221,1,1,0,0,0,0,telemetry_only,M4 config produced L1/M2 telemetry but no MP owner/M3/M4 active counters,112,0,6435,0,0,0,3188,16507,0,0,0,0,0,0,0,0,0,0,0,0,0
tpacf,tpacf,C,placeholder_missing_binary,missing_binary,missing_binary,missing_binary,0,0,,0,0,0,0,0,0,missing_binary,placeholder_missing_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
