paper_id,paper_name,paper_type,availability_status,phase_mapping_status,local_path,local_binary,local_data_path,recommended_action
particle,particle,M,missing_binary,not_found,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/particlefilter,,,build_or_import_binary
sad_2,sad-2,M,missing_binary,not_found,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad,,,build_or_import_binary
spmv,spmv,M,available,approximate,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv/spmv,,ready_for_w3_dryrun_and_short_smoke
srad_1,srad-1,M,partial_phase_unknown,app_only,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2/srad,,resolve_paper_phase_to_local_kernel_before_actual_table_iii_run
srad_2,srad-2,M,partial_phase_unknown,app_only,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2/srad,,resolve_paper_phase_to_local_kernel_before_actual_table_iii_run
bp_1,BP-1,C,partial_phase_unknown,app_only,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop/backprop,,resolve_paper_phase_to_local_kernel_before_actual_table_iii_run
cutcp,cutcp,C,missing_binary,not_found,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp,,,build_or_import_binary
histo_2,histo-2,C,partial_phase_unknown,app_only,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,,resolve_paper_phase_to_local_kernel_before_actual_table_iii_run
histogram,histogram,C,missing_source,not_found,,,,import_or_point_to_benchmark_source
kmeans_2,kmeans-2,C,partial_phase_unknown,app_only,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/kmeans,,resolve_paper_phase_to_local_kernel_before_actual_table_iii_run
lavamd,lavaMD,C,missing_binary,not_found,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD,,,build_or_import_binary
leuko_2,leuko-2,C,missing_binary,not_found,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,,,build_or_import_binary
leuko_3,leuko-3,C,missing_binary,not_found,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,,,build_or_import_binary
mri_q,mri-q,C,available,approximate,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/mri-q,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/data/tiny.bin,ready_for_w3_dryrun_and_short_smoke
mrig_3,mrig-3,C,missing_binary,not_found,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding,,,build_or_import_binary
pathfinder,pathfinder,C,available,approximate,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder/pathfinder,,ready_for_w3_dryrun_and_short_smoke
sad_1,sad-1,C,missing_binary,not_found,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad,,,build_or_import_binary
sgemm,sgemm,C,available,approximate,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm/sgemm,,ready_for_w3_dryrun_and_short_smoke
stencil,stencil,C,available,approximate,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil/stencil,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil/data/tiny.bin,ready_for_w3_dryrun_and_short_smoke
tpacf,tpacf,C,missing_binary,not_found,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/tpacf,,,build_or_import_binary
