paper_id,paper_name,paper_suite,paper_app,paper_kernel_or_phase,paper_type,paper_inst_per_l1_miss,local_suite_guess,local_app_guess,local_path,local_binary,local_data_path,local_command,local_input_size,phase_mapping_status,availability_status,build_status,run_command_status,expected_runtime_class,notes
cutcp,cutcp,Parboil,cutcp,whole_app,C,949,parboil,parboil_cutcp,,,,,unknown,not_found,missing_source,unknown,placeholder_missing_source,unknown,No local cutcp wrapper found in gpgpu-workloads manifest
histo_2,histo-2,Parboil,histo,phase_2,C,35.9,parboil,parboil_histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,,bash scripts/run_one.sh parboil_histo,tiny,app_only,partial_phase_unknown,ready,placeholder_phase_unknown,tiny,Local histo app exists but histo-2 paper phase mapping is unresolved
histogram,histogram,Rodinia,histogram,whole_app,C,91.2,rodinia,rodinia_histogram,,,,,unknown,not_found,missing_source,unknown,placeholder_missing_source,unknown,No local histogram wrapper found in gpgpu-workloads manifest
kmeans_2,kmeans-2,Rodinia,kmeans,phase_2,C,88,rodinia,rodinia_kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/kmeans,,bash scripts/run_one.sh rodinia_kmeans,tiny,app_only,partial_phase_unknown,ready,placeholder_phase_unknown,tiny,Local kmeans app exists but kmeans-2 paper phase mapping is unresolved
lavamd,lavaMD,Rodinia,lavaMD,whole_app,C,512,rodinia,rodinia_lavaMD,,,,,unknown,not_found,missing_source,unknown,placeholder_missing_source,unknown,No local lavaMD wrapper found in gpgpu-workloads manifest
leuko_2,leuko-2,Rodinia,leukocyte,phase_2,C,173,rodinia,rodinia_leukocyte,,,,,unknown,not_found,missing_source,unknown,placeholder_missing_source,unknown,No local leukocyte wrapper found in gpgpu-workloads manifest
leuko_3,leuko-3,Rodinia,leukocyte,phase_3,C,5289,rodinia,rodinia_leukocyte,,,,,unknown,not_found,missing_source,unknown,placeholder_missing_source,unknown,No local leukocyte wrapper found in gpgpu-workloads manifest
mri_q,mri-q,Parboil,mri-q,whole_app,C,3479,parboil,parboil_mri_q,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/mri-q,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/data/tiny.bin,bash scripts/run_one.sh parboil_mri_q,tiny,approximate,available,ready,ready,tiny,Local Parboil mri-q tiny wrapper is available
mrig_3,mrig-3,Parboil,mri-gridding,phase_3,C,147,parboil,parboil_mri_gridding,,,,,unknown,not_found,missing_source,unknown,placeholder_missing_source,unknown,No local mri-gridding wrapper found in gpgpu-workloads manifest
pathfinder,pathfinder,Rodinia,pathfinder,whole_app,C,55.83,rodinia,rodinia_pathfinder,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder/pathfinder,,bash scripts/run_one.sh rodinia_pathfinder,tiny,approximate,available,ready,ready,tiny,Local Rodinia pathfinder tiny wrapper is available
sad_1,sad-1,Parboil,sad,phase_1,C,2563,parboil,parboil_sad,,,,,unknown,not_found,missing_source,unknown,placeholder_missing_source,unknown,No local sad wrapper found in gpgpu-workloads manifest
sgemm,sgemm,Parboil,sgemm,whole_app,C,75,parboil,parboil_sgemm,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm/sgemm,,bash scripts/run_one.sh parboil_sgemm,tiny,approximate,available,ready,ready,tiny,Local Parboil SGEMM tiny wrapper is available
stencil,stencil,Parboil,stencil,whole_app,C,38,parboil,parboil_stencil,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil/stencil,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil/data/tiny.bin,bash scripts/run_one.sh parboil_stencil,tiny,approximate,available,ready,ready,tiny,Local Parboil stencil tiny wrapper is available
tpacf,tpacf,Parboil,tpacf,whole_app,C,10816,parboil,parboil_tpacf,,,,,unknown,not_found,missing_source,unknown,placeholder_missing_source,unknown,No local tpacf wrapper found in gpgpu-workloads manifest
