paper_id,paper_name,paper_type,availability_status,wrapper_status,selected_for_w24,measurement_scope,phase_mapping_status_w18,phase_mapping_confidence_w18,baseline_status,m2_status,m3_status,m4_status,m2_active,m3_active,m4_active,valid_for_trend,correctness_status,next_action
kmeans_2,kmeans-2,C,available,ready,1,app_run_inferred_phase,mapped_by_launch_order,inferred_order,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,0,0,0,1,stats_only_not_correctness_pass,needs_exact_phase_mapping
lavamd,lavaMD,C,missing_binary,placeholder_missing_binary,0,unavailable,unavailable,not_w18_target,not_run,not_run,not_run,not_run,0,0,0,0,not_run,needs_workload_availability
leuko_2,leuko-2,C,missing_binary,placeholder_missing_binary,0,unavailable,unavailable,not_w18_target,not_run,not_run,not_run,not_run,0,0,0,0,not_run,needs_workload_availability
leuko_3,leuko-3,C,missing_binary,placeholder_missing_binary,0,unavailable,unavailable,not_w18_target,not_run,not_run,not_run,not_run,0,0,0,0,not_run,needs_workload_availability
mri_q,mri-q,C,available,ready,1,app_run_unmapped,inferred,not_w18_target,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,0,0,0,1,stats_only_not_correctness_pass,use_in_report
mrig_3,mrig-3,C,missing_binary,placeholder_missing_binary,0,unavailable,unavailable,not_w18_target,not_run,not_run,not_run,not_run,0,0,0,0,not_run,needs_workload_availability
pathfinder,pathfinder,C,available,ready,1,app_run_unmapped,inferred,not_w18_target,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,0,0,0,1,stats_only_not_correctness_pass,use_in_report
sad_1,sad-1,C,missing_binary,placeholder_missing_binary,0,unavailable,unavailable,not_w18_target,not_run,not_run,not_run,not_run,0,0,0,0,not_run,needs_workload_availability
sgemm,sgemm,C,available,ready,1,app_run_unmapped,inferred,not_w18_target,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,0,0,0,1,stats_only_not_correctness_pass,use_in_report
stencil,stencil,C,available,ready,1,app_run_unmapped,inferred,not_w18_target,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,completed_no_explicit_pass,0,0,0,1,stats_only_not_correctness_pass,use_in_report
tpacf,tpacf,C,missing_binary,placeholder_missing_binary,0,unavailable,unavailable,not_w18_target,not_run,not_run,not_run,not_run,0,0,0,0,not_run,needs_workload_availability
