suite_id,app_id,benchmark_name,attempt_round,strategy,candidate_command,exit_code,timeout,log_path,dry_run_status,smoke_status,blocker_after,notes
rodinia,rodinia_hotspot3D,hotspot3D,round1,command_probe_1,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D && source /workspace/repos/load_gpgpusim.sh && ./3D --help,1,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_hotspot3D_round1_command_probe_1.log,fail,fail,command/data not normalized in workload manifest,command probe; not promoted without full collector smoke
rodinia,rodinia_hotspot3D,hotspot3D,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_hotspot3D_round2_command_probe_2.log,pass,unavailable_exit_77,command/data not normalized in workload manifest,command probe; not promoted without full collector smoke
rodinia,rodinia_huffman,huffman,round1,command_probe_1,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman && source /workspace/repos/load_gpgpusim.sh && ./pavle --help,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_huffman_round1_command_probe_1.log,pass,candidate_pass,ready_candidate,command probe; not promoted without full collector smoke
rodinia,rodinia_huffman,huffman,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_huffman_round2_command_probe_2.log,pass,unavailable_exit_77,command/data not normalized in workload manifest,command probe; not promoted without full collector smoke
rodinia,rodinia_hybridsort,hybridsort,round1,command_probe_1,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort && source /workspace/repos/load_gpgpusim.sh && ./bucketsort.cuh --help,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_hybridsort_round1_command_probe_1.log,fail,fail,no verified executable binary,command probe; not promoted without full collector smoke
rodinia,rodinia_hybridsort,hybridsort,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_hybridsort_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
rodinia,rodinia_lavaMD,lavaMD,round1,command_probe_1,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD && source /workspace/repos/load_gpgpusim.sh && ./README --help,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_lavaMD_round1_command_probe_1.log,fail,fail,no verified executable binary,command probe; not promoted without full collector smoke
rodinia,rodinia_lavaMD,lavaMD,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_lavaMD_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
rodinia,rodinia_leukocyte,leukocyte,round1,command_probe_1,echo no_binary_available_for_command_smoke,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_leukocyte_round1_command_probe_1.log,pass,pass,no verified executable binary,command probe; not promoted without full collector smoke
rodinia,rodinia_leukocyte,leukocyte,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_leukocyte_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
rodinia,rodinia_mummergpu,mummergpu,round1,command_probe_1,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu && source /workspace/repos/load_gpgpusim.sh && ./COPYING --help,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_mummergpu_round1_command_probe_1.log,fail,fail,no verified executable binary,command probe; not promoted without full collector smoke
rodinia,rodinia_mummergpu,mummergpu,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_mummergpu_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
rodinia,rodinia_myocyte,myocyte,round1,command_probe_1,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/myocyte && source /workspace/repos/load_gpgpusim.sh && ./myocyte.out 100 1 0,1,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_myocyte_round1_command_probe_1.log,fail,fail,W19 smoke failed: nonzero_no_stats,command probe; not promoted without full collector smoke
rodinia,rodinia_myocyte,myocyte,round2,command_probe_2,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/myocyte && source /workspace/repos/load_gpgpusim.sh && ./myocyte.out --help,1,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_myocyte_round2_command_probe_2.log,fail,fail,W19 smoke failed: nonzero_no_stats,command probe; not promoted without full collector smoke
rodinia,rodinia_nn,nn,round1,command_probe_1,echo no_binary_available_for_command_smoke,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_nn_round1_command_probe_1.log,pass,pass,W19 smoke failed: nonzero_no_stats,command probe; not promoted without full collector smoke
rodinia,rodinia_nn,nn,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_nn_round2_command_probe_2.log,pass,unavailable_exit_77,W19 smoke failed: nonzero_no_stats,command probe; not promoted without full collector smoke
rodinia,rodinia_particlefilter,particlefilter,round1,command_probe_1,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/particlefilter && source /workspace/repos/load_gpgpusim.sh && ./README.txt --help,2,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_particlefilter_round1_command_probe_1.log,fail,fail,no verified executable binary,command probe; not promoted without full collector smoke
rodinia,rodinia_particlefilter,particlefilter,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_particlefilter_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
rodinia,rodinia_streamcluster,streamcluster,round1,command_probe_1,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/streamcluster && source /workspace/repos/load_gpgpusim.sh && ./sc_gpu 10 20 32 256 256 10 none output.txt 1,1,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_streamcluster_round1_command_probe_1.log,fail,fail,W19 smoke failed: nonzero_no_stats,command probe; not promoted without full collector smoke
rodinia,rodinia_streamcluster,streamcluster,round2,command_probe_2,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/streamcluster && source /workspace/repos/load_gpgpusim.sh && ./sc_gpu --help,1,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_rodinia_streamcluster_round2_command_probe_2.log,fail,fail,W19 smoke failed: nonzero_no_stats,command probe; not promoted without full collector smoke
parboil,parboil_bfs,bfs,round1,command_probe_1,echo no_binary_available_for_command_smoke,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_bfs_round1_command_probe_1.log,pass,pass,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_bfs,bfs,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_bfs_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_cp,cp,round1,command_probe_1,echo no_binary_available_for_command_smoke,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_cp_round1_command_probe_1.log,pass,pass,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_cp,cp,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_cp_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_cutcp,cutcp,round1,command_probe_1,echo no_binary_available_for_command_smoke,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_cutcp_round1_command_probe_1.log,pass,pass,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_cutcp,cutcp,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_cutcp_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_fft,fft,round1,command_probe_1,echo no_binary_available_for_command_smoke,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_fft_round1_command_probe_1.log,pass,pass,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_fft,fft,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_fft_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_imghisto,imghisto,round1,command_probe_1,echo no_binary_available_for_command_smoke,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_imghisto_round1_command_probe_1.log,pass,pass,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_imghisto,imghisto,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_imghisto_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_lbm,lbm,round1,command_probe_1,echo no_binary_available_for_command_smoke,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_lbm_round1_command_probe_1.log,pass,pass,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_lbm,lbm,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_lbm_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_mri_fhd,mri-fhd,round1,command_probe_1,echo no_binary_available_for_command_smoke,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_mri_fhd_round1_command_probe_1.log,pass,pass,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_mri_fhd,mri-fhd,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_mri_fhd_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_mri_gridding,mri-gridding,round1,command_probe_1,echo no_binary_available_for_command_smoke,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_mri_gridding_round1_command_probe_1.log,pass,pass,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_mri_gridding,mri-gridding,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_mri_gridding_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_pns,pns,round1,command_probe_1,echo no_binary_available_for_command_smoke,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_pns_round1_command_probe_1.log,pass,pass,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_pns,pns,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_pns_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_rpes,rpes,round1,command_probe_1,echo no_binary_available_for_command_smoke,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_rpes_round1_command_probe_1.log,pass,pass,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_rpes,rpes,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_rpes_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_sad,sad,round1,command_probe_1,echo no_binary_available_for_command_smoke,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_sad_round1_command_probe_1.log,pass,pass,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_sad,sad,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_sad_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_simple_mm,simple_mm,round1,command_probe_1,echo no_binary_available_for_command_smoke,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_simple_mm_round1_command_probe_1.log,pass,pass,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_simple_mm,simple_mm,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_simple_mm_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_tpacf,tpacf,round1,command_probe_1,echo no_binary_available_for_command_smoke,0,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_tpacf_round1_command_probe_1.log,pass,pass,no verified executable binary,command probe; not promoted without full collector smoke
parboil,parboil_tpacf,tpacf,round2,command_probe_2,echo dry_run_placeholder_unavailable_exit_77; exit 77,77,0,/workspace/tmp/mascar_w21_blocker_logs_20260605_162703/W21D_parboil_tpacf_round2_command_probe_2.log,pass,unavailable_exit_77,no verified executable binary,command probe; not promoted without full collector smoke
