suite,suite_workload_id,benchmark,round,method,work_dir,command,exit_code,timeout,log_path,result_status,notes
parboil,parboil_spmv,spmv,round1,wrapper_make,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_spmv_round1_wrapper_make.log,pass,W19B build/recovery attempt
parboil,parboil_stencil,stencil,round1,wrapper_make,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_stencil_round1_wrapper_make.log,pass,W19B build/recovery attempt
rodinia,rodinia_bplustree,b+tree,round2,raw_make,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree,make,2,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_bplustree_round2_raw_make.log,fail,W19B build/recovery attempt
rodinia,rodinia_cfd,cfd,round2,raw_make,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd,make,2,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_cfd_round2_raw_make.log,fail,W19B build/recovery attempt
rodinia,rodinia_cfd,cfd,round2,raw_makefile_nvidia,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/cfd,make -f Makefile_nvidia,2,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_cfd_round2_raw_makefile_nvidia.log,fail,W19B build/recovery attempt
rodinia,rodinia_dwt2d,dwt2d,round2,raw_make,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/dwt2d,make,2,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_dwt2d_round2_raw_make.log,fail,W19B build/recovery attempt
rodinia,rodinia_gaussian,gaussian,round2,raw_make,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/gaussian,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_gaussian_round2_raw_make.log,pass,W19B build/recovery attempt
rodinia,rodinia_heartwall,heartwall,round2,raw_make,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/heartwall,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_heartwall_round2_raw_make.log,pass,W19B build/recovery attempt
rodinia,rodinia_hotspot3D,hotspot3D,round2,raw_make,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hotspot3D,make,2,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_hotspot3D_round2_raw_make.log,fail,W19B build/recovery attempt
rodinia,rodinia_huffman,huffman,round2,raw_make,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/huffman,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_huffman_round2_raw_make.log,pass,W19B build/recovery attempt
rodinia,rodinia_hybridsort,hybridsort,round2,raw_make,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/hybridsort,make,2,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_hybridsort_round2_raw_make.log,fail,W19B build/recovery attempt
rodinia,rodinia_lavaMD,lavaMD,round2,raw_make,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD,make,2,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_lavaMD_round2_raw_make.log,fail,W19B build/recovery attempt
rodinia,rodinia_lavaMD,lavaMD,round2,raw_lowercase_makefile,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD,make -f makefile,2,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_lavaMD_round2_raw_lowercase_makefile.log,fail,W19B build/recovery attempt
rodinia,rodinia_leukocyte,leukocyte,round2,raw_make,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,make,2,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_leukocyte_round2_raw_make.log,fail,W19B build/recovery attempt
rodinia,rodinia_mummergpu,mummergpu,round2,raw_make,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu,make,2,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_mummergpu_round2_raw_make.log,fail,W19B build/recovery attempt
rodinia,rodinia_myocyte,myocyte,round2,raw_make,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/myocyte,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_myocyte_round2_raw_make.log,pass,W19B build/recovery attempt
rodinia,rodinia_nn,nn,round2,raw_make,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nn,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_nn_round2_raw_make.log,pass,W19B build/recovery attempt
rodinia,rodinia_particlefilter,particlefilter,round2,raw_make,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/particlefilter,make,2,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_particlefilter_round2_raw_make.log,fail,W19B build/recovery attempt
rodinia,rodinia_streamcluster,streamcluster,round2,raw_make,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/streamcluster,make,0,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_streamcluster_round2_raw_make.log,pass,W19B build/recovery attempt
rodinia,rodinia_streamcluster,streamcluster,round2,raw_makefile_nvidia,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/streamcluster,make -f Makefile_nvidia,2,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/rodinia_streamcluster_round2_raw_makefile_nvidia.log,fail,W19B build/recovery attempt
parboil,parboil_bfs,bfs,round2,parboil_compile_cuda,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile bfs cuda default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_bfs_round2_parboil_compile_cuda.log,fail,W19B build/recovery attempt
parboil,parboil_bfs,bfs,round2,parboil_compile_cuda_base,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile bfs cuda_base default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_bfs_round2_parboil_compile_cuda_base.log,fail,W19B build/recovery attempt
parboil,parboil_cp,cp,round2,parboil_compile_cuda,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile cp cuda default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_cp_round2_parboil_compile_cuda.log,fail,W19B build/recovery attempt
parboil,parboil_cp,cp,round2,parboil_compile_cuda_base,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile cp cuda_base default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_cp_round2_parboil_compile_cuda_base.log,fail,W19B build/recovery attempt
parboil,parboil_cutcp,cutcp,round2,parboil_compile_cuda,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile cutcp cuda default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_cutcp_round2_parboil_compile_cuda.log,fail,W19B build/recovery attempt
parboil,parboil_cutcp,cutcp,round2,parboil_compile_cuda_base,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile cutcp cuda_base default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_cutcp_round2_parboil_compile_cuda_base.log,fail,W19B build/recovery attempt
parboil,parboil_fft,fft,round2,parboil_compile_cuda,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile fft cuda default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_fft_round2_parboil_compile_cuda.log,fail,W19B build/recovery attempt
parboil,parboil_fft,fft,round2,parboil_compile_cuda_base,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile fft cuda_base default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_fft_round2_parboil_compile_cuda_base.log,fail,W19B build/recovery attempt
parboil,parboil_imghisto,imghisto,round2,parboil_compile_cuda,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile imghisto cuda default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_imghisto_round2_parboil_compile_cuda.log,fail,W19B build/recovery attempt
parboil,parboil_imghisto,imghisto,round2,parboil_compile_cuda_base,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile imghisto cuda_base default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_imghisto_round2_parboil_compile_cuda_base.log,fail,W19B build/recovery attempt
parboil,parboil_lbm,lbm,round2,parboil_compile_cuda,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile lbm cuda default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_lbm_round2_parboil_compile_cuda.log,fail,W19B build/recovery attempt
parboil,parboil_lbm,lbm,round2,parboil_compile_cuda_base,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile lbm cuda_base default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_lbm_round2_parboil_compile_cuda_base.log,fail,W19B build/recovery attempt
parboil,parboil_mri_fhd,mri-fhd,round2,parboil_compile_cuda,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile mri-fhd cuda default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_mri_fhd_round2_parboil_compile_cuda.log,fail,W19B build/recovery attempt
parboil,parboil_mri_fhd,mri-fhd,round2,parboil_compile_cuda_base,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile mri-fhd cuda_base default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_mri_fhd_round2_parboil_compile_cuda_base.log,fail,W19B build/recovery attempt
parboil,parboil_mri_gridding,mri-gridding,round2,parboil_compile_cuda,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile mri-gridding cuda default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_mri_gridding_round2_parboil_compile_cuda.log,fail,W19B build/recovery attempt
parboil,parboil_mri_gridding,mri-gridding,round2,parboil_compile_cuda_base,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile mri-gridding cuda_base default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_mri_gridding_round2_parboil_compile_cuda_base.log,fail,W19B build/recovery attempt
parboil,parboil_pns,pns,round2,parboil_compile_cuda,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile pns cuda default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_pns_round2_parboil_compile_cuda.log,fail,W19B build/recovery attempt
parboil,parboil_pns,pns,round2,parboil_compile_cuda_base,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile pns cuda_base default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_pns_round2_parboil_compile_cuda_base.log,fail,W19B build/recovery attempt
parboil,parboil_rpes,rpes,round2,parboil_compile_cuda,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile rpes cuda default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_rpes_round2_parboil_compile_cuda.log,fail,W19B build/recovery attempt
parboil,parboil_rpes,rpes,round2,parboil_compile_cuda_base,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile rpes cuda_base default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_rpes_round2_parboil_compile_cuda_base.log,fail,W19B build/recovery attempt
parboil,parboil_sad,sad,round2,parboil_compile_cuda,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile sad cuda default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_sad_round2_parboil_compile_cuda.log,fail,W19B build/recovery attempt
parboil,parboil_sad,sad,round2,parboil_compile_cuda_base,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile sad cuda_base default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_sad_round2_parboil_compile_cuda_base.log,fail,W19B build/recovery attempt
parboil,parboil_simple_mm,simple_mm,round2,parboil_compile_cuda,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile simple_mm cuda default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_simple_mm_round2_parboil_compile_cuda.log,fail,W19B build/recovery attempt
parboil,parboil_simple_mm,simple_mm,round2,parboil_compile_cuda_base,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile simple_mm cuda_base default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_simple_mm_round2_parboil_compile_cuda_base.log,fail,W19B build/recovery attempt
parboil,parboil_tpacf,tpacf,round2,parboil_compile_cuda,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile tpacf cuda default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_tpacf_round2_parboil_compile_cuda.log,fail,W19B build/recovery attempt
parboil,parboil_tpacf,tpacf,round2,parboil_compile_cuda_base,/workspace/repos/gpgpu-workloads/suites/parboil,./parboil compile tpacf cuda_base default,127,0,/workspace/tmp/mascar_w19_build_logs_20260605_145525/parboil_tpacf_round2_parboil_compile_cuda_base.log,fail,W19B build/recovery attempt
