app_id,app_name,suite_id,benchmark_name,current_ready,wrapper_status,availability_status,run_command,source_path,binary_path,data_path,input_scale,default_timeout_sec,blocker,next_action,notes
rodinia_bplustree,rodinia_bplustree,rodinia,b+tree,0,placeholder_unavailable,binary_available_command_unverified,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/penmp,unknown,unknown,1800,command/data not normalized in workload manifest,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia_kmeans,rodinia_kmeans,rodinia,kmeans,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans && source /workspace/repos/load_gpgpusim.sh && bash run_gpgpusim.sh,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/data,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia_lavaMD,rodinia_lavaMD,rodinia,lavaMD,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia_leukocyte,rodinia_leukocyte,rodinia,leukocyte,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia_lud,rodinia_lud,rodinia,lud,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/lud && source /workspace/repos/load_gpgpusim.sh && ./lud_cuda -s 32 -v,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lud,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/lud/lud_cuda,unknown,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia_mummergpu,rodinia_mummergpu,rodinia,mummergpu,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/data,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia_myocyte,rodinia_myocyte,rodinia,myocyte,0,placeholder_unavailable,failed_smoke,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/myocyte && source /workspace/repos/load_gpgpusim.sh && ./myocyte.out 100 1 0,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/myocyte,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/myocyte/myocyte.out,unknown,tiny,1200,W19 smoke failed: nonzero_no_stats,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia_nn,rodinia_nn,rodinia,nn,0,placeholder_unavailable,failed_smoke,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nn && source /workspace/repos/load_gpgpusim.sh && ./nn filelist_4 -r 5 -lat 30 -lng 90,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nn,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nn/nn,unknown,tiny,900,W19 smoke failed: nonzero_no_stats,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia_nw,rodinia_nw,rodinia,nw,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/nw && source /workspace/repos/load_gpgpusim.sh && ./needle 64 10,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nw,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/nw/needle,unknown,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia_particlefilter,rodinia_particlefilter,rodinia,particlefilter,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/particlefilter,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia_pathfinder,rodinia_pathfinder,rodinia,pathfinder,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder && source /workspace/repos/load_gpgpusim.sh && ./pathfinder 64 64 2,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/pathfinder,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder/pathfinder,unknown,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia_srad,rodinia_srad,rodinia,srad,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2 && source /workspace/repos/load_gpgpusim.sh && ./srad 64 64 0 31 0 31 0.5 1,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/srad,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2/srad,unknown,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia_streamcluster,rodinia_streamcluster,rodinia,streamcluster,0,placeholder_unavailable,failed_smoke,cd /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/streamcluster && source /workspace/repos/load_gpgpusim.sh && ./sc_gpu 10 20 32 256 256 10 none output.txt 1,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/streamcluster,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/streamcluster/sc_gpu,unknown,tiny,1200,W19 smoke failed: nonzero_no_stats,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
parboil_bfs,parboil_bfs,parboil,bfs,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/bfs,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil_cp,parboil_cp,parboil,cp,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cp,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil_cutcp,parboil_cutcp,parboil,cutcp,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil_fft,parboil_fft,parboil,fft,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/fft,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil_histo,parboil_histo,parboil,histo,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo && source /workspace/repos/load_gpgpusim.sh && bash run_gpgpusim.sh,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/data,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
parboil_imghisto,parboil_imghisto,parboil,imghisto,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/imghisto,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil_lbm,parboil_lbm,parboil,lbm,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/lbm,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil_mri_fhd,parboil_mri_fhd,parboil,mri-fhd,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-fhd,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil_mri_gridding,parboil_mri_gridding,parboil,mri-gridding,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil_mri_q,parboil_mri_q,parboil,mri-q,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q && source /workspace/repos/load_gpgpusim.sh && ./mri-q -i data/tiny.bin 32,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-q,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/mri-q,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/data,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
parboil_pns,parboil_pns,parboil,pns,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/pns,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil_rpes,parboil_rpes,parboil,rpes,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/rpes,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil_sad,parboil_sad,parboil,sad,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil_sgemm,parboil_sgemm,parboil,sgemm,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm && source /workspace/repos/load_gpgpusim.sh && bash run_gpgpusim.sh,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sgemm,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm/sgemm,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm/data,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
parboil_simple_mm,parboil_simple_mm,parboil,simple_mm,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/simple_mm,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
parboil_spmv,parboil_spmv,parboil,spmv,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv && source /workspace/repos/load_gpgpusim.sh && bash run_gpgpusim.sh,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/spmv,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv/spmv,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv/data,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
parboil_stencil,parboil_stencil,parboil,stencil,1,ready,ready,cd /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil && source /workspace/repos/load_gpgpusim.sh && ./stencil -i data/tiny.bin 8 8 8 1,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/stencil,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil/stencil,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil/data,tiny,1800,none,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
parboil_tpacf,parboil_tpacf,parboil,tpacf,0,placeholder_unavailable,source_available_missing_binary,unknown,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/tpacf,unknown,unknown,unknown,1800,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
