suite,suite_workload_id,benchmark,source_dir,source_exists,cuda_source_count,makefile_path,wrapper_dir,wrapper_exists,binary_path,binary_exists,binary_executable,data_path,data_exists,data_file_count,existing_manifest_app,existing_manifest_status,run_command,availability_status,blocker,next_action,notes
rodinia,rodinia_bplustree,b+tree,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree,1,5,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/Makefile,,0,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/b+tree/penmp,1,1,,0,0,,,,binary_available_command_unverified,command/data not normalized in workload manifest,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_kmeans,kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/kmeans,1,2,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/kmeans/Makefile,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans,1,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/kmeans,1,1,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/data,1,1,rodinia_kmeans,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans && source /workspace/repos/load_gpgpusim.sh && bash run_gpgpusim.sh,ready,,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_lavaMD,lavaMD,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD,1,3,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD/makefile,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_leukocyte,leukocyte,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,1,2,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte/Makefile,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_lud,lud,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lud,1,2,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lud/Makefile,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/lud,1,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/lud/lud_cuda,1,1,,0,0,rodinia_lud,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/lud && source /workspace/repos/load_gpgpusim.sh && ./lud_cuda -s 32 -v,ready,,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_mummergpu,mummergpu,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu,1,3,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/Makefile,,0,,0,0,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu/data,1,7,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_myocyte,myocyte,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/myocyte,1,16,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/myocyte/Makefile,,0,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/myocyte/myocyte.out,1,1,,0,0,,,,binary_available_command_unverified,command/data not normalized in workload manifest,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_nn,nn,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nn,1,1,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nn/Makefile,,0,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nn/nn,1,1,,0,0,,,,binary_available_command_unverified,command/data not normalized in workload manifest,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_nw,nw,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nw,1,2,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/nw/Makefile,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/nw,1,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/nw/needle,1,1,,0,0,rodinia_nw,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/nw && source /workspace/repos/load_gpgpusim.sh && ./needle 64 10,ready,,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_particlefilter,particlefilter,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/particlefilter,1,2,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/particlefilter/Makefile,,0,,0,0,,0,0,,,,source_available_missing_binary,no verified executable binary,try W19B build/recovery rounds,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_pathfinder,pathfinder,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/pathfinder,1,1,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/pathfinder/Makefile,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder,1,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder/pathfinder,1,1,,0,0,rodinia_pathfinder,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder && source /workspace/repos/load_gpgpusim.sh && ./pathfinder 64 64 2,ready,,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_srad,srad,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/srad,1,9,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/srad/Makefile,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2,1,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2/srad,1,1,,0,0,rodinia_srad_v2,ready,cd /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2 && source /workspace/repos/load_gpgpusim.sh && ./srad 64 64 0 31 0 31 0.5 1,ready,,dry-run and smoke through W19C/W19D wrapper,W18 phase mapping retained as background only; not modified by W19
rodinia,rodinia_streamcluster,streamcluster,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/streamcluster,1,2,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/streamcluster/Makefile,,0,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/streamcluster/sc_gpu,1,1,,0,0,,,,binary_available_command_unverified,command/data not normalized in workload manifest,derive small input command and promote after smoke,W18 phase mapping retained as background only; not modified by W19
