run_id,config_id,paper_id,paper_name,paper_type,wrapper_status,run_dir,exit_code,timeout,result_status_prelim,classification,has_stats,explicit_pass,gpu_tot_sim_cycle,gpu_tot_ipc,gpu_tot_sim_insn,paper_mascar_l1_sat_sample,paper_mascar_l1_sat_sample_saturated,paper_mascar_m2_ep_cycles,paper_mascar_m2_mp_cycles,paper_mascar_m2_owner_acquire,paper_mascar_m2_nonowner_mem_block,paper_mascar_m3_hitonly_access_attempt,paper_mascar_m3_hitonly_access_hit,paper_mascar_m3_hitonly_access_nack,paper_mascar_m4_enqueue_success,paper_mascar_m4_retry_attempt,paper_mascar_m4_retry_hit,paper_mascar_m4_retry_nack,paper_mascar_m4_retry_requeue,paper_mascar_m4_queue_occupancy_max,cacheinst_L1D_access_total,cacheinst_L1D_hit,cacheinst_L1D_miss,cacheinst_L1D_reservation_fail,gpgpusim_exit,result_status,result_pass
baseline_off__particle,baseline_off,particle,particle,M,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/particle,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__sad_2,baseline_off,sad_2,sad-2,M,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/sad_2,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__spmv,baseline_off,spmv,spmv,M,ready,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/spmv,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__srad_1,baseline_off,srad_1,srad-1,M,placeholder_phase_unknown,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/srad_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__srad_2,baseline_off,srad_2,srad-2,M,placeholder_phase_unknown,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/srad_2,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__bp_1,baseline_off,bp_1,BP-1,C,placeholder_phase_unknown,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/bp_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__cutcp,baseline_off,cutcp,cutcp,C,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/cutcp,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__histo_2,baseline_off,histo_2,histo-2,C,placeholder_phase_unknown,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/histo_2,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__histogram,baseline_off,histogram,histogram,C,placeholder_missing_source,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/histogram,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__kmeans_2,baseline_off,kmeans_2,kmeans-2,C,placeholder_phase_unknown,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/kmeans_2,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__lavamd,baseline_off,lavamd,lavaMD,C,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/lavamd,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__leuko_2,baseline_off,leuko_2,leuko-2,C,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/leuko_2,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__leuko_3,baseline_off,leuko_3,leuko-3,C,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/leuko_3,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__mri_q,baseline_off,mri_q,mri-q,C,ready,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/mri_q,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__mrig_3,baseline_off,mrig_3,mrig-3,C,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/mrig_3,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__pathfinder,baseline_off,pathfinder,pathfinder,C,ready,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/pathfinder,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__sad_1,baseline_off,sad_1,sad-1,C,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/sad_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__sgemm,baseline_off,sgemm,sgemm,C,ready,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/sgemm,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__stencil,baseline_off,stencil,stencil,C,ready,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/stencil,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_off__tpacf,baseline_off,tpacf,tpacf,C,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/baseline_off/tpacf,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__bp_2,m4_reexec_load,bp_2,BP-2,M,placeholder_phase_unknown,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/bp_2,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__bfs,m4_reexec_load,bfs,bfs,M,ready,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/bfs,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__histo_1,m4_reexec_load,histo_1,histo-1,M,placeholder_phase_unknown,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/histo_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__histo_3,m4_reexec_load,histo_3,histo-3,M,placeholder_phase_unknown,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/histo_3,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__kmeans_1,m4_reexec_load,kmeans_1,kmeans-1,M,placeholder_phase_unknown,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/kmeans_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__lbm,m4_reexec_load,lbm,lbm,M,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/lbm,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__leuko_1,m4_reexec_load,leuko_1,leuko-1,M,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/leuko_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__mrig_1,m4_reexec_load,mrig_1,mrig-1,M,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/mrig_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__mrig_2,m4_reexec_load,mrig_2,mrig-2,M,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/mrig_2,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__mummer,m4_reexec_load,mummer,mummer,M,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/mummer,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__particle,m4_reexec_load,particle,particle,M,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/particle,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__sad_2,m4_reexec_load,sad_2,sad-2,M,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/sad_2,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__spmv,m4_reexec_load,spmv,spmv,M,ready,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/spmv,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__srad_1,m4_reexec_load,srad_1,srad-1,M,placeholder_phase_unknown,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/srad_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__srad_2,m4_reexec_load,srad_2,srad-2,M,placeholder_phase_unknown,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/srad_2,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__bp_1,m4_reexec_load,bp_1,BP-1,C,placeholder_phase_unknown,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/bp_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__cutcp,m4_reexec_load,cutcp,cutcp,C,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/cutcp,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__histo_2,m4_reexec_load,histo_2,histo-2,C,placeholder_phase_unknown,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/histo_2,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__histogram,m4_reexec_load,histogram,histogram,C,placeholder_missing_source,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/histogram,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__kmeans_2,m4_reexec_load,kmeans_2,kmeans-2,C,placeholder_phase_unknown,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/kmeans_2,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__lavamd,m4_reexec_load,lavamd,lavaMD,C,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/lavamd,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__leuko_2,m4_reexec_load,leuko_2,leuko-2,C,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/leuko_2,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__leuko_3,m4_reexec_load,leuko_3,leuko-3,C,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/leuko_3,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__mri_q,m4_reexec_load,mri_q,mri-q,C,ready,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/mri_q,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__mrig_3,m4_reexec_load,mrig_3,mrig-3,C,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/mrig_3,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__pathfinder,m4_reexec_load,pathfinder,pathfinder,C,ready,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/pathfinder,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__sad_1,m4_reexec_load,sad_1,sad-1,C,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/sad_1,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__sgemm,m4_reexec_load,sgemm,sgemm,C,ready,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/sgemm,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__stencil,m4_reexec_load,stencil,stencil,C,ready,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/stencil,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
m4_reexec_load__tpacf,m4_reexec_load,tpacf,tpacf,C,placeholder_missing_binary,experiments/paper-mascar/workloads/results/w3_dryrun_matrix/runs/m4_reexec_load/tpacf,0,0,completed_exit0,no_stats_exit0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
