paper_id,paper_name,paper_type,current_status,primary_gap,secondary_gap,candidate_source,candidate_binary,candidate_data,candidate_build_command,phase_mapping_status,recommended_W17B_action,recommended_W17C_action,notes
srad_2,srad-2,M,placeholder_phase_unknown,phase_unknown,exact_phase_mapping_missing,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2/srad,,make -C /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2,app_level_pending_kernel_trace,none,convert_placeholder_to_app_level_ready_phase_pending,Local SRAD app exists but srad-2 phase mapping is unresolved
bp_1,BP-1,C,placeholder_phase_unknown,phase_unknown,exact_phase_mapping_missing,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop/backprop,,make -C /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop,app_level_pending_kernel_trace,none,convert_placeholder_to_app_level_ready_phase_pending,Local backprop app exists but BP-1 phase mapping is unresolved
cutcp,cutcp,C,placeholder_missing_binary,missing_binary,data_or_wrapper_may_also_be_missing,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp,,,make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp/src/cuda,app_level_pending_kernel_trace,attempt_native_build_then_arch_adjustment,create_ready_wrapper_if_binary_and_data_available,Raw Parboil cutcp source exists but no local runnable wrapper or binary
histo_2,histo-2,C,placeholder_phase_unknown,phase_unknown,exact_phase_mapping_missing,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,,make -C /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,app_level_pending_kernel_trace,none,convert_placeholder_to_app_level_ready_phase_pending,Local histo app exists but histo-2 phase mapping is unresolved
histogram,histogram,C,placeholder_missing_source,missing_source,candidate_source_not_found,,,,,unavailable,search_local_source_aliases_only,keep_unavailable_exit77,No local histogram source or wrapper
kmeans_2,kmeans-2,C,placeholder_phase_unknown,phase_unknown,exact_phase_mapping_missing,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/kmeans,,make -C /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans,app_level_pending_kernel_trace,none,convert_placeholder_to_app_level_ready_phase_pending,Local kmeans app exists but kmeans-2 phase mapping is unresolved
lavamd,lavaMD,C,placeholder_missing_binary,missing_binary,data_or_wrapper_may_also_be_missing,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD,,,make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD -f makefile,app_level_pending_kernel_trace,attempt_native_build_then_arch_adjustment,create_ready_wrapper_if_binary_and_data_available,Raw Rodinia lavaMD source exists but no local runnable wrapper or binary
leuko_2,leuko-2,C,placeholder_missing_binary,missing_binary,data_or_wrapper_may_also_be_missing,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,,,make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,app_level_pending_kernel_trace,attempt_native_build_then_arch_adjustment,create_ready_wrapper_if_binary_and_data_available,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary
leuko_3,leuko-3,C,placeholder_missing_binary,missing_binary,data_or_wrapper_may_also_be_missing,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,,,make -C /workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,app_level_pending_kernel_trace,attempt_native_build_then_arch_adjustment,create_ready_wrapper_if_binary_and_data_available,Raw Rodinia leukocyte source exists but no local runnable wrapper or binary
mri_q,mri-q,C,ready,already_ready,,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/mri-q,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/data/tiny.bin,make -C /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q,approximate,none,keep_existing_ready_wrapper,Local Parboil mri-q tiny wrapper
mrig_3,mrig-3,C,placeholder_missing_binary,missing_binary,data_or_wrapper_may_also_be_missing,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding,,,make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding/src/cuda,app_level_pending_kernel_trace,attempt_native_build_then_arch_adjustment,create_ready_wrapper_if_binary_and_data_available,Raw Parboil mri-gridding source exists but no local runnable wrapper or binary
pathfinder,pathfinder,C,ready,already_ready,,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder/pathfinder,,make -C /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder,approximate,none,keep_existing_ready_wrapper,Local Rodinia pathfinder tiny wrapper
sad_1,sad-1,C,placeholder_missing_binary,missing_binary,data_or_wrapper_may_also_be_missing,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad,,,make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad/src/cuda,app_level_pending_kernel_trace,attempt_native_build_then_arch_adjustment,create_ready_wrapper_if_binary_and_data_available,Raw Parboil sad source exists but no local runnable wrapper or binary
sgemm,sgemm,C,ready,already_ready,,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm/sgemm,,make -C /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm,approximate,none,keep_existing_ready_wrapper,Local Parboil SGEMM tiny wrapper
stencil,stencil,C,ready,already_ready,,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil/stencil,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil/data/tiny.bin,make -C /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil,approximate,none,keep_existing_ready_wrapper,Local Parboil stencil tiny wrapper
tpacf,tpacf,C,placeholder_missing_binary,missing_binary,data_or_wrapper_may_also_be_missing,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/tpacf,,,make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/tpacf/src/cuda,app_level_pending_kernel_trace,attempt_native_build_then_arch_adjustment,create_ready_wrapper_if_binary_and_data_available,Raw Parboil tpacf source exists but no local runnable wrapper or binary
