priority,paper_id,action_type,action_detail,expected_risk,expected_time,can_attempt_in_W17B,can_attempt_in_W17C,notes
1,cutcp,attempt_native_build_then_arch_adjustment,make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp/src/cuda,medium,10-30min,1,1,missing_binary; data_or_wrapper_may_also_be_missing
1,sad_2,attempt_native_build_then_arch_adjustment,make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad/src/cuda,medium,10-30min,1,1,missing_binary; data_or_wrapper_may_also_be_missing
1,tpacf,attempt_native_build_then_arch_adjustment,make -C /workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/tpacf/src/cuda,medium,10-30min,1,1,missing_binary; data_or_wrapper_may_also_be_missing
4,bp_1,convert_placeholder_to_app_level_ready_phase_pending,make -C /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop,low,minutes,0,1,phase_unknown; exact_phase_mapping_missing
4,bp_2,convert_placeholder_to_app_level_ready_phase_pending,make -C /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop,low,minutes,0,1,phase_unknown; exact_phase_mapping_missing
4,histo_1,convert_placeholder_to_app_level_ready_phase_pending,make -C /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,low,minutes,0,1,phase_unknown; exact_phase_mapping_missing
4,histo_2,convert_placeholder_to_app_level_ready_phase_pending,make -C /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,low,minutes,0,1,phase_unknown; exact_phase_mapping_missing
4,histo_3,convert_placeholder_to_app_level_ready_phase_pending,make -C /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,low,minutes,0,1,phase_unknown; exact_phase_mapping_missing
4,kmeans_1,convert_placeholder_to_app_level_ready_phase_pending,make -C /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans,low,minutes,0,1,phase_unknown; exact_phase_mapping_missing
4,kmeans_2,convert_placeholder_to_app_level_ready_phase_pending,make -C /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans,low,minutes,0,1,phase_unknown; exact_phase_mapping_missing
4,srad_1,convert_placeholder_to_app_level_ready_phase_pending,make -C /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2,low,minutes,0,1,phase_unknown; exact_phase_mapping_missing
4,srad_2,convert_placeholder_to_app_level_ready_phase_pending,make -C /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2,low,minutes,0,1,phase_unknown; exact_phase_mapping_missing
5,histogram,keep_unavailable_exit77,keep_unavailable_exit77,low,10-30min,0,0,missing_source; candidate_source_not_found
9,bfs,keep_existing_ready_wrapper,make -C /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/bfs,low,minutes,0,1,already_ready; 
9,mri_q,keep_existing_ready_wrapper,make -C /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q,low,minutes,0,1,already_ready; 
9,pathfinder,keep_existing_ready_wrapper,make -C /workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder,low,minutes,0,1,already_ready; 
9,sgemm,keep_existing_ready_wrapper,make -C /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm,low,minutes,0,1,already_ready; 
9,spmv,keep_existing_ready_wrapper,make -C /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv,low,minutes,0,1,already_ready; 
9,stencil,keep_existing_ready_wrapper,make -C /workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil,low,minutes,0,1,already_ready; 
