paper_id,paper_name,paper_type,current_availability_status,current_wrapper_status,current_phase_mapping_status,alias_used,candidate_kind,candidate_path,has_source,has_binary,has_makefile,has_cmake,has_build_script,has_data,likely_suite,confidence,notes
leuko_1,leuko-1,M,missing_binary,placeholder_missing_binary,not_found,leukocyte|leuko,source_dir,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,1,1,1,0,0,0,rodinia,high,No local leukocyte wrapper found in gpgpu-workloads manifest
mrig_1,mrig-1,M,missing_binary,placeholder_missing_binary,not_found,mri-gridding|mrig|gridding,source_dir,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding,1,1,1,0,0,0,parboil,high,No local mri-gridding wrapper found in gpgpu-workloads manifest
mrig_2,mrig-2,M,missing_binary,placeholder_missing_binary,not_found,mri-gridding|mrig|gridding,source_dir,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding,1,1,1,0,0,0,parboil,high,No local mri-gridding wrapper found in gpgpu-workloads manifest
mummer,mummer,M,missing_binary,placeholder_missing_binary,not_found,mummergpu|mummer,source_dir,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/mummergpu,1,1,1,0,1,1,rodinia,high,No local mummer wrapper found in gpgpu-workloads manifest
particle,particle,M,missing_binary,placeholder_missing_binary,not_found,particlefilter|particle,source_dir,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/particlefilter,1,1,1,0,0,0,rodinia,high,No local particlefilter wrapper found in gpgpu-workloads manifest
sad_2,sad-2,M,missing_binary,placeholder_missing_binary,not_found,sad,source_dir,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad,1,1,1,0,0,0,parboil,high,No local sad wrapper found in gpgpu-workloads manifest
spmv,spmv,M,available,ready,approximate,spmv,source_dir,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv,1,1,1,0,1,1,parboil,high,Local Parboil SpMV tiny wrapper is available
spmv,spmv,M,available,ready,approximate,spmv,binary_file,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/spmv/spmv,1,1,1,0,1,1,parboil,high,existing binary path from audited manifest
srad_1,srad-1,M,partial_phase_unknown,placeholder_phase_unknown,app_only,srad,source_dir,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2,1,1,1,0,0,0,rodinia,high,Local SRAD v2 app exists but srad-1 paper phase mapping is unresolved
srad_1,srad-1,M,partial_phase_unknown,placeholder_phase_unknown,app_only,srad,binary_file,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2/srad,1,1,1,0,0,0,rodinia,high,existing binary path from audited manifest
srad_2,srad-2,M,partial_phase_unknown,placeholder_phase_unknown,app_only,srad,source_dir,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2,1,1,1,0,0,0,rodinia,high,Local SRAD v2 app exists but srad-2 paper phase mapping is unresolved
srad_2,srad-2,M,partial_phase_unknown,placeholder_phase_unknown,app_only,srad,binary_file,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/srad_v2/srad,1,1,1,0,0,0,rodinia,high,existing binary path from audited manifest
bp_1,BP-1,C,partial_phase_unknown,placeholder_phase_unknown,app_only,backprop|bp,source_dir,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop,1,1,1,0,0,0,rodinia,high,Local backprop app exists but BP-1 paper phase mapping is unresolved
bp_1,BP-1,C,partial_phase_unknown,placeholder_phase_unknown,app_only,backprop|bp,binary_file,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/backprop/backprop,1,1,1,0,0,0,rodinia,high,existing binary path from audited manifest
cutcp,cutcp,C,missing_binary,placeholder_missing_binary,not_found,cutcp,source_dir,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/cutcp,1,1,1,0,0,0,parboil,high,No local cutcp wrapper found in gpgpu-workloads manifest
histo_2,histo-2,C,partial_phase_unknown,placeholder_phase_unknown,app_only,histo|histogram,source_dir,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo,1,1,1,0,1,1,parboil,high,Local histo app exists but histo-2 paper phase mapping is unresolved
histo_2,histo-2,C,partial_phase_unknown,placeholder_phase_unknown,app_only,histo|histogram,binary_file,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/histo/histo,1,1,1,0,1,1,parboil,high,existing binary path from audited manifest
kmeans_2,kmeans-2,C,partial_phase_unknown,placeholder_phase_unknown,app_only,kmeans,source_dir,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans,1,1,1,0,1,1,rodinia,high,Local kmeans app exists but kmeans-2 paper phase mapping is unresolved
kmeans_2,kmeans-2,C,partial_phase_unknown,placeholder_phase_unknown,app_only,kmeans,binary_file,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/kmeans/kmeans,1,1,1,0,1,1,rodinia,high,existing binary path from audited manifest
lavamd,lavaMD,C,missing_binary,placeholder_missing_binary,not_found,lavaMD|lavamd|lava,source_dir,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/lavaMD,1,1,1,0,0,0,rodinia,high,No local lavaMD wrapper found in gpgpu-workloads manifest
leuko_2,leuko-2,C,missing_binary,placeholder_missing_binary,not_found,leukocyte|leuko,source_dir,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,1,1,1,0,0,0,rodinia,high,No local leukocyte wrapper found in gpgpu-workloads manifest
leuko_3,leuko-3,C,missing_binary,placeholder_missing_binary,not_found,leukocyte|leuko,source_dir,/workspace/repos/gpgpu-workloads/suites/rodinia/cuda/leukocyte,1,1,1,0,0,0,rodinia,high,No local leukocyte wrapper found in gpgpu-workloads manifest
mri_q,mri-q,C,available,ready,approximate,mri-q|mriq,source_dir,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q,1,1,1,0,0,1,parboil,high,Local Parboil mri-q tiny wrapper is available
mri_q,mri-q,C,available,ready,approximate,mri-q|mriq,binary_file,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/mri-q/mri-q,1,1,1,0,0,1,parboil,high,existing binary path from audited manifest
mrig_3,mrig-3,C,missing_binary,placeholder_missing_binary,not_found,mri-gridding|mrig|gridding,source_dir,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/mri-gridding,1,1,1,0,0,0,parboil,high,No local mri-gridding wrapper found in gpgpu-workloads manifest
pathfinder,pathfinder,C,available,ready,approximate,pathfinder,source_dir,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder,1,1,1,0,0,0,rodinia,high,Local Rodinia pathfinder tiny wrapper is available
pathfinder,pathfinder,C,available,ready,approximate,pathfinder,binary_file,/workspace/repos/gpgpu-workloads/suites/rodinia-wrapper/pathfinder/pathfinder,1,1,1,0,0,0,rodinia,high,existing binary path from audited manifest
sad_1,sad-1,C,missing_binary,placeholder_missing_binary,not_found,sad,source_dir,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/sad,1,1,1,0,0,0,parboil,high,No local sad wrapper found in gpgpu-workloads manifest
sgemm,sgemm,C,available,ready,approximate,sgemm,source_dir,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm,1,1,1,0,1,1,parboil,high,Local Parboil SGEMM tiny wrapper is available
sgemm,sgemm,C,available,ready,approximate,sgemm,binary_file,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/sgemm/sgemm,1,1,1,0,1,1,parboil,high,existing binary path from audited manifest
stencil,stencil,C,available,ready,approximate,stencil,source_dir,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil,1,1,1,0,0,1,parboil,high,Local Parboil stencil tiny wrapper is available
stencil,stencil,C,available,ready,approximate,stencil,binary_file,/workspace/repos/gpgpu-workloads/suites/parboil-wrapper/stencil/stencil,1,1,1,0,0,1,parboil,high,existing binary path from audited manifest
tpacf,tpacf,C,missing_binary,placeholder_missing_binary,not_found,tpacf,source_dir,/workspace/repos/gpgpu-workloads/suites/parboil/benchmarks/tpacf,1,1,1,0,0,0,parboil,high,No local tpacf wrapper found in gpgpu-workloads manifest
